Year,Jurisdiction,Sector,Area of expenditure,Broad source of funds,Source of funds,Current amount ($),Constant amount ($)
2011-12,WA,Other services,Aids and appliances,Non-government,Health insurance funds,"5,19,88,352.71","5,95,59,825.68"
2011-12,WA,Other services,Aids and appliances,Non-government,Individuals,"49,76,64,925.20","57,01,43,784.98"
2011-12,WA,Other services,Aids and appliances,Non-government,Other source of funds,"86,38,379.73","98,96,454.95"
2011-12,WA,Other services,Patient transport services,Canadian Government,Department of Veterans' Affairs,"73,31,000.00","91,08,966.75"
2011-12,WA,Other services,Patient transport services,Canadian Government,DoHAC and other,"1,57,21,997.03","1,95,35,008.61"
2011-12,WA,Other services,Patient transport services,Canadian Government,Premium rebates,"94,38,156.03","1,17,27,165.39"
2011-12,WA,Other services,Patient transport services,Non-government,Health insurance funds,"1,83,59,834.31","2,28,12,593.12"
2011-12,WA,Other services,Patient transport services,Non-government,Individuals,0,0
2011-12,WA,Other services,Patient transport services,Non-government,Other source of funds,"1,02,95,497.31","1,27,92,435.22"
2011-12,WA,Other services,Patient transport services,State and local government,State and local government,"16,74,13,735.63","20,80,14,027.74"
2011-12,WA,Primary health care,All other medications,Canadian Government,DoHAC and other,"5,37,11,945.27","6,58,10,880.17"
2011-12,WA,Primary health care,All other medications,Canadian Government,Premium rebates,"28,20,875.16","29,87,101.87"
2011-12,WA,Primary health care,All other medications,Non-government,Health insurance funds,"54,87,385.50","58,10,742.61"
2011-12,WA,Primary health care,All other medications,Non-government,Individuals,"73,31,77,813.78","77,63,82,042.98"
2011-12,WA,Primary health care,All other medications,Non-government,Other source of funds,"2,43,90,095.26","2,58,27,339.06"
2011-12,WA,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,Department of Veterans' Affairs,"3,72,09,588.07","4,32,04,893.73"
2011-12,WA,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,DoHAC and other,"74,91,05,762.29","87,00,80,624.79"
2011-12,WA,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"15,61,00,804.34","18,12,52,172.14"
2011-12,WA,Primary health care,Community health and other,Canadian Government,Department of Veterans' Affairs,"1,04,474.00","1,32,904.02"
2011-12,WA,Primary health care,Community health and other,Canadian Government,DoHAC and other,"15,54,99,401.67","19,31,05,285.19"
2011-12,WA,Primary health care,Community health and other,Canadian Government,Premium rebates,"18,145.61","23,083.49"
2011-12,WA,Primary health care,Community health and other,Non-government,Health insurance funds,"35,298.25","44,903.80"
2011-12,WA,Primary health care,Community health and other,Non-government,Individuals,"52,74,000.00","65,53,088.34"
2011-12,WA,Primary health care,Community health and other,Non-government,Other source of funds,"78,94,847.54","98,92,492.22"
