Year,Jurisdiction,Sector,Area of expenditure,Broad source of funds,Source of funds,Current amount ($),Constant amount ($)
2011-12,WA,Primary health care,Community health and other,State and local government,State and local government,"61,63,47,230.80","76,57,18,965.65"
2011-12,WA,Primary health care,Dental services,Canadian Government,Department of Veterans' Affairs,"96,41,206.81","1,07,94,378.03"
2011-12,WA,Primary health care,Dental services,Canadian Government,DoHAC and other,"1,35,80,515.53","1,53,11,223.57"
2011-12,WA,Primary health care,Dental services,Canadian Government,Premium rebates,"8,99,55,865.69","10,07,15,360.60"
2011-12,WA,Primary health care,Dental services,Non-government,Health insurance funds,"17,49,89,138.01","19,59,19,343.34"
2011-12,WA,Primary health care,Dental services,Non-government,Individuals,"73,94,56,154.10","82,89,77,619.61"
2011-12,WA,Primary health care,Dental services,Non-government,Other source of funds,"50,24,465.61","56,25,434.89"
2011-12,WA,Primary health care,Dental services,State and local government,State and local government,"7,32,84,490.20","9,10,46,503.85"
2011-12,WA,Primary health care,Other health practitioners,Canadian Government,Department of Veterans' Affairs,"1,87,39,121.37","2,50,75,407.33"
2011-12,WA,Primary health care,Other health practitioners,Canadian Government,DoHAC and other,"9,11,61,023.86","12,05,14,660.34"
2011-12,WA,Primary health care,Other health practitioners,Canadian Government,Premium rebates,"3,30,24,757.38","4,41,91,465.91"
2011-12,WA,Primary health care,Other health practitioners,Non-government,Health insurance funds,"6,42,42,323.52","8,59,64,672.43"
2011-12,WA,Primary health care,Other health practitioners,Non-government,Individuals,"8,57,50,940.64","11,47,46,029.08"
2011-12,WA,Primary health care,Other health practitioners,Non-government,Other source of funds,"3,31,17,533.22","4,43,15,612.19"
2011-12,WA,Primary health care,Public health,Canadian Government,DoHAC and other,"17,35,76,546.79","21,56,73,576.93"
2011-12,WA,Primary health care,Public health,Non-government,Individuals,0,0
2011-12,WA,Primary health care,Public health,Non-government,Other source of funds,0,0
2011-12,WA,Primary health care,Public health,State and local government,State and local government,"10,45,03,730.24","12,98,48,725.07"
2011-12,WA,Primary health care,Unreferred medical services,Canadian Government,Department of Veterans' Affairs,"1,02,60,145.05","1,09,34,237.54"
2011-12,WA,Primary health care,Unreferred medical services,Canadian Government,DoHAC and other,"58,52,95,966.18","64,80,72,417.09"
2011-12,WA,Primary health care,Unreferred medical services,Non-government,Individuals,"8,39,57,247.00","8,94,73,245.96"
2011-12,WA,Primary health care,Unreferred medical services,Non-government,Other source of funds,"10,29,45,436.31","10,97,08,961.08"
2011-12,WA,Referred medical services,Referred medical services,Canadian Government,Department of Veterans' Affairs,"6,12,11,406.62","6,52,33,001.74"
2011-12,WA,Referred medical services,Referred medical services,Canadian Government,DoHAC and other,"87,19,95,331.00","92,92,85,505.59"
2011-12,WA,Referred medical services,Referred medical services,Canadian Government,Premium rebates,"6,43,20,775.50","6,85,46,656.44"
2011-12,WA,Referred medical services,Referred medical services,Non-government,Health insurance funds,"12,51,21,769.21","13,33,42,281.11"
2011-12,WA,Referred medical services,Referred medical services,Non-government,Individuals,"22,91,32,602.30","24,41,86,635.64"
2011-12,WA,Research,Research,Canadian Government,DoHAC and other,"29,49,83,505.31","37,49,27,506.47"
2011-12,WA,Research,Research,Non-government,Individuals,0,0
2011-12,WA,Research,Research,Non-government,Other source of funds,"1,65,59,602.62","2,10,60,079.79"
2011-12,WA,Research,Research,State and local government,State and local government,"3,82,57,450.84","4,77,00,518.48"
2012-13,ACT,Capital expenditure,Capital expenditure,Canadian Government,DoHAC and other,"25,74,394.49","24,52,671.54"
2012-13,ACT,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"2,47,07,651.10","2,82,01,858.48"
2012-13,ACT,Capital expenditure,Capital expenditure,State and local government,State and local government,"14,60,00,000.00","16,29,89,468.23"
2012-13,ACT,Hospitals,Private hospitals,Canadian Government,Department of Veterans' Affairs,"-1,15,03,725.07","-1,36,17,400.93"
2012-13,ACT,Hospitals,Private hospitals,Canadian Government,DoHAC and other,"17,38,691.42","20,58,155.78"
2012-13,ACT,Hospitals,Private hospitals,Canadian Government,Premium rebates,"3,20,07,871.16","3,78,88,945.72"
2012-13,ACT,Hospitals,Private hospitals,Non-government,Health insurance funds,"7,37,23,873.63","8,72,69,779.09"
2012-13,ACT,Hospitals,Private hospitals,Non-government,Individuals,"5,87,16,806.10","6,95,05,337.21"
2012-13,ACT,Hospitals,Private hospitals,Non-government,Other source of funds,"92,18,231.44","1,09,11,974.39"
2012-13,ACT,Hospitals,Private hospitals,State and local government,State and local government,"33,19,000.00","39,28,827.70"
2012-13,ACT,Hospitals,Public hospital services,Canadian Government,Department of Veterans' Affairs,"1,91,07,219.90","2,26,17,949.62"
2012-13,ACT,Hospitals,Public hospital services,Canadian Government,DoHAC and other,"28,25,50,546.73","33,44,65,927.83"
2012-13,ACT,Hospitals,Public hospital services,Canadian Government,Premium rebates,"37,46,060.71","44,34,355.85"
2012-13,ACT,Hospitals,Public hospital services,Non-government,Health insurance funds,"86,28,318.47","1,02,13,671.77"
2012-13,ACT,Hospitals,Public hospital services,Non-government,Individuals,"19,11,400.97","22,62,598.70"
2012-13,ACT,Hospitals,Public hospital services,Non-government,Other source of funds,"96,54,655.78","1,14,28,586.63"
2012-13,ACT,Hospitals,Public hospital services,State and local government,State and local government,"61,01,82,417.22","72,22,96,349.02"
2012-13,ACT,Medical expenses tax rebate,Medical expenses tax rebate,Canadian Government,DoHAC and other,"1,27,68,000.00","1,60,17,783.20"
2012-13,ACT,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-1,27,68,000.00","-1,60,17,783.20"
2012-13,ACT,Other services,Administration,Canadian Government,Department of Veterans' Affairs,"4,06,03,448.22","5,09,38,066.32"
2012-13,ACT,Other services,Administration,Canadian Government,DoHAC and other,"1,49,81,165.80","1,87,94,256.41"
2012-13,ACT,Other services,Administration,Canadian Government,Premium rebates,"63,72,986.20","79,95,074.51"
2012-13,ACT,Other services,Administration,Non-government,Health insurance funds,"1,46,79,043.25","1,84,15,235.93"
2012-13,ACT,Other services,Administration,State and local government,State and local government,"7,54,000.00","9,45,912.32"
2012-13,ACT,Other services,Aids and appliances,Canadian Government,Department of Veterans' Affairs,0,0
2012-13,ACT,Other services,Aids and appliances,Canadian Government,DoHAC and other,"65,57,570.01","75,20,120.67"
2012-13,ACT,Other services,Aids and appliances,Canadian Government,Premium rebates,"37,35,623.72","42,83,955.95"
2012-13,ACT,Other services,Aids and appliances,Non-government,Health insurance funds,"86,04,346.59","98,67,332.63"
2012-13,ACT,Other services,Aids and appliances,Non-government,Individuals,"2,27,02,551.33","2,60,34,937.49"
2012-13,ACT,Other services,Aids and appliances,Non-government,Other source of funds,"9,58,288.17","10,98,950.17"
2012-13,ACT,Other services,Patient transport services,Canadian Government,Department of Veterans' Affairs,"2,23,000.00","2,63,973.66"
2012-13,ACT,Other services,Patient transport services,Canadian Government,DoHAC and other,0,0
2012-13,ACT,Other services,Patient transport services,Canadian Government,Premium rebates,"60,94,127.54","72,13,852.69"
2012-13,ACT,Other services,Patient transport services,Non-government,Health insurance funds,"1,40,36,741.78","1,66,15,830.04"
2012-13,ACT,Other services,Patient transport services,Non-government,Individuals,"6,390.43","7,564.60"
2012-13,ACT,Other services,Patient transport services,Non-government,Other source of funds,"12,40,828.21","14,68,815.99"
2012-13,ACT,Other services,Patient transport services,State and local government,State and local government,"1,82,30,327.75","2,15,79,938.72"
2012-13,ACT,Primary health care,All other medications,Canadian Government,DoHAC and other,"55,85,513.28","59,73,554.43"
2012-13,ACT,Primary health care,All other medications,Canadian Government,Premium rebates,"4,39,950.98","4,70,515.59"
2012-13,ACT,Primary health care,All other medications,Non-government,Health insurance funds,"10,13,349.03","10,83,749.21"
2012-13,ACT,Primary health care,All other medications,Non-government,Individuals,"8,56,13,727.91","9,15,61,551.81"
2012-13,ACT,Primary health care,All other medications,Non-government,Other source of funds,"15,44,919.80","16,52,249.67"
2012-13,ACT,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,Department of Veterans' Affairs,"77,13,479.57","95,62,913.88"
2012-13,ACT,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,DoHAC and other,"9,72,10,547.20","12,05,18,383.68"
2012-13,ACT,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"2,37,34,914.70","2,94,25,753.05"
2012-13,ACT,Primary health care,Community health and other,Canadian Government,Department of Veterans' Affairs,"4,76,522.00","5,97,809.06"
2012-13,ACT,Primary health care,Community health and other,Canadian Government,DoHAC and other,"1,47,33,662.70","1,84,83,757.43"
2012-13,ACT,Primary health care,Community health and other,Canadian Government,Premium rebates,"3,469.91","4,353.09"
2012-13,ACT,Primary health care,Community health and other,Non-government,Health insurance funds,"7,992.33","10,026.58"
2012-13,ACT,Primary health care,Community health and other,Non-government,Other source of funds,"2,61,101.46","3,27,558.48"
2012-13,ACT,Primary health care,Community health and other,State and local government,State and local government,"17,31,31,206.39","21,71,97,535.19"
2012-13,ACT,Primary health care,Dental services,Canadian Government,Department of Veterans' Affairs,"-21,63,369.89","-23,86,332.54"
2012-13,ACT,Primary health care,Dental services,Canadian Government,DoHAC and other,"56,03,305.25","61,80,796.78"
2012-13,ACT,Primary health care,Dental services,Canadian Government,Premium rebates,"1,05,87,224.08","1,16,78,371.53"
2012-13,ACT,Primary health care,Dental services,Non-government,Health insurance funds,"2,43,85,792.66","2,68,99,057.26"
2012-13,ACT,Primary health care,Dental services,Non-government,Individuals,"10,71,56,132.50","11,81,99,928.27"
2012-13,ACT,Primary health care,Dental services,Non-government,Other source of funds,"6,30,469.24","6,95,447.07"
2012-13,ACT,Primary health care,Dental services,State and local government,State and local government,"1,02,46,592.59","1,13,02,633.66"
2012-13,ACT,Primary health care,Other health practitioners,Canadian Government,Department of Veterans' Affairs,"1,20,87,693.15","1,56,58,201.51"
2012-13,ACT,Primary health care,Other health practitioners,Canadian Government,DoHAC and other,"1,55,73,768.47","2,01,74,006.89"
2012-13,ACT,Primary health care,Other health practitioners,Canadian Government,Premium rebates,"42,41,140.50","54,93,904.57"
2012-13,ACT,Primary health care,Other health practitioners,Non-government,Health insurance funds,"97,68,714.84","1,26,54,234.65"
2012-13,ACT,Primary health care,Other health practitioners,Non-government,Individuals,"5,18,48,643.35","6,71,63,891.02"
2012-13,ACT,Primary health care,Other health practitioners,Non-government,Other source of funds,"1,01,82,717.82","1,31,90,527.39"
2012-13,ACT,Primary health care,Other health practitioners,State and local government,State and local government,"17,30,715.72","22,41,941.05"
2012-13,ACT,Primary health care,Public health,Canadian Government,DoHAC and other,"1,64,26,880.86","1,94,45,129.42"
2012-13,ACT,Primary health care,Public health,State and local government,State and local government,"2,95,91,391.06","3,50,28,465.46"
2012-13,ACT,Primary health care,Unreferred medical services,Canadian Government,Department of Veterans' Affairs,"1,21,66,232.57","1,39,80,884.94"
2012-13,ACT,Primary health care,Unreferred medical services,Canadian Government,DoHAC and other,"10,59,36,563.95","12,17,37,514.30"
2012-13,ACT,Primary health care,Unreferred medical services,Non-government,Individuals,"2,48,47,407.00","2,85,53,517.80"
2012-13,ACT,Primary health care,Unreferred medical services,Non-government,Other source of funds,"1,05,53,494.96","1,21,27,599.72"
2012-13,ACT,Referred medical services,Referred medical services,Canadian Government,Department of Veterans' Affairs,"3,44,80,779.10","3,96,23,753.90"
2012-13,ACT,Referred medical services,Referred medical services,Canadian Government,DoHAC and other,"13,97,75,441.00","16,06,23,623.35"
2012-13,ACT,Referred medical services,Referred medical services,Canadian Government,Premium rebates,"55,70,768.95","64,01,676.06"
2012-13,ACT,Referred medical services,Referred medical services,Non-government,Health insurance funds,"1,28,31,278.11","1,47,45,125.23"
2012-13,ACT,Referred medical services,Referred medical services,Non-government,Individuals,"6,16,24,040.94","7,08,15,564.38"
2012-13,ACT,Research,Research,Canadian Government,Department of Veterans' Affairs,"10,65,000.00","13,36,069.79"
2012-13,ACT,Research,Research,Canadian Government,DoHAC and other,"9,33,89,357.29","11,71,59,341.98"
2012-13,ACT,Research,Research,Non-government,Individuals,"23,208.60","29,115.79"
2012-13,ACT,Research,Research,Non-government,Other source of funds,"44,84,731.73","56,26,210.88"
2012-13,ACT,Research,Research,State and local government,State and local government,"1,22,83,974.01","1,54,10,560.19"
2012-13,NSW,Capital expenditure,Capital expenditure,Canadian Government,DoHAC and other,"1,94,32,525.97","2,12,92,450.05"
2012-13,NSW,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"1,46,82,93,227.10","1,87,16,14,738.00"
2012-13,NSW,Capital expenditure,Capital expenditure,State and local government,State and local government,"1,57,30,00,000.00","1,87,43,72,142.98"
2012-13,NSW,Hospitals,Private hospitals,Canadian Government,Department of Veterans' Affairs,"22,84,24,461.37","27,83,16,760.16"
2012-13,NSW,Hospitals,Private hospitals,Canadian Government,DoHAC and other,"8,72,08,585.54","10,62,56,619.11"
